Column 1,Title,JSON,Column 3,Column 4
LADD,Advances in financial education.,,11858254,10/01/2018
LADD,Advances in financial education.,,11858336,10/01/2018
LADD,Advances in financial education.,,11858413,10/01/2018
LADD,"Advances in human factors, sustainable urban planning and",,12231583,23/11/2018
LADD,"Advances in human factors, sustainable urban planning and",,12231954,23/11/2018
LADD,"Advances in materials processing X : selected, peer reviewed papers :",,374259,21/07/2016
LADD,"Advances in materials processing X : selected, peer reviewed papers :",,374260,22/07/2016
LADD,Advances in neurology,,328200,10/04/2013
LADD,Advances in neurology,,371462,9/03/2016
LADD,Advances in neurology,,371155,7/03/2016
LADD,Advances in nutrition,,350878,26/08/2014
LADD,Advances in nutrition,,11870664,19/01/2018
LADD,"Advances in nutrition (Bethesda, Md.)",,373060,20/04/2016
LADD,"Advances in nutrition (Bethesda, Md.)",,365638,16/09/2015
LADD,Advances in photocatalytic disinfection,,11941916,16/03/2018
LADD,Advances in photocatalytic disinfection,,12030271,28/05/2018
LADD,Advances in photocatalytic disinfection,,11994787,1/05/2018
LADD,Advances in social work and welfare education,,385274,27/03/2017
LADD,Advances in social work and welfare education,,386128,11/04/2017
LADD,Advances in social work and welfare education,,11880297,2/02/2018
LADD,Advances in social work and welfare education.,,340005,7/01/2014
LADD,Advances in social work and welfare education.,,340802,24/01/2014
LADD,Advances in social work and welfare education.,,340816,24/01/2014
LADD,Advances in social work and welfare education.,,354459,21/11/2014
LADD,Advances in social work and welfare education. (FROM ,,368421,4/12/2015
LADD,Advances in social work and welfare education. (FROM ,,368422,4/12/2015
LADD,Advancing Relational Leadership Research: A Dialogue Among Perspectives,,357048,19/02/2015
LADD,Advancing Relational Leadership Research: A Dialogue Among Perspectives,,357046,20/02/2015
LADD,"African journal for physical health education,",,382886,24/01/2017
LADD,"African journal for physical health education,",,382892,24/01/2017
LADD,"African journal for physical health education,",,383191,2/02/2017
LADD,"African journal for physical health education,",,385616,31/03/2017
LADD,Agroecology and sustainable food systems,,376257,18/07/2016
LADD,Agroecology and sustainable food systems,,379236,4/10/2016
LADD,Agroecology and sustainable food systems,,381907,21/12/2016
LADD,AIAA Journal,,335964,20/09/2013
LADD,AIAA Journal,,364872,31/08/2015
LADD,AIAA Journal,,364873,31/08/2015
LADD,AIChE Journal,,384051,24/02/2017
LADD,AIChE journal,,387647,17/05/2017
LADD,AIChE journal,,387648,17/05/2017
LADD,AIChE Journal,,370476,17/02/2016
LADD,AIChE journal,,379842,21/10/2016
LADD,AIChE Journal,,380575,17/11/2016
LADD,Alberta journal of educational research,,386746,28/04/2017
LADD,Alberta journal of educational research,,336698,9/10/2013
LADD,"Alcoholism, clinical and experimental research",,346932,22/05/2014
LADD,"Alcoholism, clinical and experimental research",,347102,27/05/2014
LADD,"Alcoholism, clinical and experimental research",,347103,27/05/2014
LADD,"Alcoholism, clinical and experimental research",,341457,3/02/2014
LADD,"Alcoholism, clinical and experimental research",,341862,10/02/2014
LADD,"Alcoholism, clinical and experimental research",,323205,7/01/2013
LADD,"Alcoholism, clinical and experimental research",,333105,23/07/2013
LADD,Alcoholism: Clinical and Experimental Research,,377228,18/08/2016
LADD,Alcoholism: Clinical and Experimental Research,,11887546,2/02/2018
LADD,American Catholic Philosophical Quarterly,,390011,31/07/2017
LADD,American Catholic Philosophical Quarterly,,381735,16/12/2016
LADD,American Industrial Hygiene Association journal,,340710,21/01/2014
LADD,American Industrial Hygiene Association journal,,340713,21/01/2014
LADD,American journal of clinical nutrition,,385547,3/04/2017
LADD,American journal of clinical nutrition,,388211,31/05/2017
LADD,American journal of clinical nutrition.,,11805675,8/11/2017
LADD,American journal of clinical nutrition.,,11810226,13/11/2017
LADD,American journal of clinical nutrition.,,11814405,16/11/2017
LADD,American journal of clinical nutrition.,,11805618,9/11/2017
LADD,American journal of clinical nutrition.,,11807465,10/11/2017
LADD,American journal of clinical nutrition.,,11850461,2/01/2018
LADD,American journal of critical care,,370721,23/02/2016
LADD,American journal of critical care,,332422,12/07/2013
LADD,American journal of dentistry,,325520,22/02/2013
LADD,American journal of dentistry,,383524,9/02/2017
LADD,American journal of dentistry,,383525,9/02/2017
LADD,American journal of dentistry,,387718,19/05/2017
LADD,American journal of dentistry,,362429,24/06/2015
LADD,American journal of disaster medicine,,374839,6/06/2016
LADD,American journal of disaster medicine,,374843,6/06/2016
LADD,American journal of gastroenterology,,369739,21/01/2016
LADD,American journal of gastroenterology,,326140,8/03/2013
LADD,American journal of gastroenterology,,326141,7/03/2013
LADD,American journal of health planning,,337134,15/10/2013
LADD,American journal of health planning,,337747,30/10/2013
LADD,American journal of health promotion,,344349,3/04/2014
LADD,American journal of health promotion,,349168,23/07/2014
LADD,American journal of health promotion,,349169,23/07/2014
LADD,American journal of health promotion,,379841,21/10/2016
LADD,American journal of health promotion,,361839,12/06/2015
LADD,American journal of health promotion,,361838,12/06/2015
LADD,American journal of health promotion,,362402,26/06/2015
LADD,American journal of health promotion,,367752,12/11/2015
LADD,American journal of health promotion,,341463,4/02/2014
LADD,American journal of health promotion,,342218,19/02/2014
LADD,American journal of health promotion,,324130,24/01/2013
LADD,American journal of health promotion,,332544,11/07/2013
LADD,American journal of health promotion,,338610,20/11/2013
LADD,American journal of health promotion.,,371616,14/03/2016
LADD,American journal of health promotion.,,348253,30/06/2014
LADD,American journal of health promotion.,,351261,29/08/2014
LADD,American journal of hospital pharmacy,,383144,2/02/2017
LADD,American journal of hospital pharmacy,,372719,11/04/2016
LADD,American journal of hospital pharmacy.,,11827774,29/11/2017
LADD,American journal of hospital pharmacy.,,12086793,19/07/2018
LADD,American Journal of Hypertension,,344817,9/04/2014
LADD,American Journal of Hypertension,,368745,15/12/2015
LADD,American journal of industrial medicine.,,11700574,10/08/2017
LADD,American journal of industrial medicine.,,340712,17/01/2014
LADD,American journal of infection control,,384872,16/03/2017
LADD,American journal of infection control,,386040,10/04/2017
LADD,American journal of infection control,,360004,28/04/2015
LADD,American journal of infection control,,352643,8/10/2014
LADD,American journal of infection control,,353798,31/10/2014
LADD,American journal of infection control,,336078,19/09/2013
LADD,American journal of medical genetics,,327692,4/04/2013
LADD,American journal of medical genetics,,333507,31/07/2013
LADD,American Journal of Obstetrics and Gynecology,,346439,13/05/2014
LADD,American Journal of Obstetrics and Gynecology,,346424,14/05/2014
LADD,American Journal of Obstetrics and Gynecology,,348303,2/07/2014
LADD,American Journal of Obstetrics and Gynecology,,348307,2/07/2014
LADD,American Journal of Obstetrics and Gynecology,,348411,3/07/2014
LADD,American Journal of Obstetrics and Gynecology,,348467,9/07/2014
LADD,American journal of obstetrics and gynecology,,328434,16/04/2013
LADD,American journal of obstetrics and gynecology,,330266,21/05/2013
LADD,American journal of obstetrics and gynecology,,338789,25/11/2013
LADD,American Journal of Obstetrics and Gynecology,,338788,26/11/2013
LADD,American Journal of Obstetrics and Gynecology,,382205,5/01/2017
LADD,American journal of obstetrics and gynecology,,382248,6/01/2017
LADD,American journal of obstetrics and gynecology,,382249,6/01/2017
LADD,American journal of obstetrics and gynecology,,382250,6/01/2017
LADD,American journal of obstetrics and gynecology,,382251,6/01/2017
LADD,American journal of obstetrics and gynecology,,382253,6/01/2017
LADD,American journal of obstetrics and gynecology,,382255,6/01/2017
LADD,American journal of obstetrics and gynecology,,382257,6/01/2017
LADD,American journal of obstetrics and gynecology,,382258,6/01/2017
LADD,American journal of obstetrics and gynecology,,382259,6/01/2017
LADD,American journal of obstetrics and gynecology,,382260,6/01/2017
LADD,American journal of obstetrics and gynecology,,382261,6/01/2017
LADD,American journal of obstetrics and gynecology,,382378,9/01/2017
LADD,American Journal of Obstetrics and Gynecology,,385156,20/03/2017
LADD,American journal of obstetrics and gynecology,,385425,29/03/2017
LADD,American journal of obstetrics and gynecology,,385426,29/03/2017
LADD,American Journal of Obstetrics and Gynecology,,385434,29/03/2017
LADD,American Journal of Obstetrics and Gynecology,,385438,29/03/2017
LADD,American Journal of Obstetrics and Gynecology,,385452,28/03/2017
LADD,American Journal of Obstetrics and Gynecology,,385507,29/03/2017
LADD,American Journal of Obstetrics and Gynecology,,385508,29/03/2017
LADD,American journal of obstetrics and gynecology,,385862,7/04/2017
LADD,American Journal of Obstetrics and Gynecology,,385864,7/04/2017
LADD,American journal of obstetrics and gynecology,,385922,6/04/2017
LADD,American journal of obstetrics and gynecology,,385923,6/04/2017
LADD,American journal of obstetrics and gynecology,,385924,6/04/2017
LADD,American journal of obstetrics and gynecology,,380710,15/11/2016
LADD,American journal of obstetrics and gynecology,,380711,15/11/2016
LADD,American Journal of Obstetrics and Gynecology,,380743,15/11/2016
LADD,American journal of obstetrics and gynecology,,381799,16/12/2016
LADD,American journal of obstetrics and gynecology,,381958,22/12/2016
LADD,American journal of obstetrics and gynecology.,,385435,29/03/2017
LADD,American journal of obstetrics and gynecology.,,385450,28/03/2017
LADD,American journal of obstetrics and gynecology.,,385760,5/04/2017
LADD,American journal of obstetrics and gynecology.,,11897279,9/02/2018
LADD,American journal of occupational therapy,,382528,12/01/2017
LADD,American journal of occupational therapy,,382660,17/01/2017
LADD,American Journal of Occupational Therapy,,383683,16/02/2017
LADD,American Journal of Occupational Therapy,,384102,1/03/2017
LADD,American Journal of Occupational Therapy,,389342,4/07/2017
LADD,American Journal of Occupational Therapy,,381357,5/12/2016
LADD,American Journal of Occupational Therapy,,381358,5/12/2016
LADD,American Journal of Occupational Therapy,,381359,5/12/2016
LADD,American journal of occupational therapy,,380875,18/11/2016
LADD,American journal of occupational therapy,,380884,22/11/2016
LADD,American Journal of Occupational Therapy,,381328,1/12/2016
LADD,American journal of occupational therapy,,357121,20/02/2015
LADD,American Journal of Perinatology,,346417,15/05/2014
LADD,American Journal of Perinatology,,346425,14/05/2014
LADD,American journal of perinatology,,326870,20/03/2013
LADD,American journal of perinatology,,330264,21/05/2013
LADD,American Journal of Perinatology,,385433,29/03/2017
LADD,American Journal of Perinatology,,386172,21/04/2017
LADD,American journal of perinatology,,358006,18/03/2015
LADD,American journal of perinatology,,358621,26/03/2015
LADD,American journal of perinatology,,350390,15/08/2014
LADD,American journal of perinatology.,,11821370,23/11/2017
LADD,American journal of perinatology.,,11937223,15/03/2018
LADD,American journal of pharmacogenomics,,350013,8/08/2014
LADD,American journal of pharmacogenomics,,358555,25/03/2015
LADD,American journal of pharmacogenomics,,358556,25/03/2015
LADD,American Journal of Preventive Medicine,,388200,31/05/2017
LADD,American Journal of Preventive Medicine,,378780,23/09/2016
LADD,American Journal of Psychiatry,,330747,31/05/2013
LADD,American Journal of Psychiatry,,330748,31/05/2013
LADD,American journal of psychiatry,,386114,11/04/2017
LADD,American Journal of Psychiatry,,11733709,6/09/2017
LADD,American Journal of Psychiatry,,372754,13/04/2016
LADD,American journal of psychiatry,,341008,24/01/2014
LADD,American Journal of Psychiatry,,346273,9/05/2014
LADD,American Journal of Psychiatry,,326139,6/03/2013
LADD,American journal of psychiatry,,337750,31/10/2013
LADD,American journal of psychiatry,,338434,14/11/2013
LADD,American journal of psychotherapy,,386938,3/05/2017
LADD,American journal of psychotherapy,,381053,23/11/2016
LADD,American journal of psychotherapy,,361490,29/05/2015
LADD,American journal of psychotherapy,,360823,18/05/2015
LADD,American journal of psychotherapy,,343739,24/03/2014
LADD,American journal of psychotherapy,,323188,14/01/2013
LADD,American journal of respiratory and critical care,,11818249,21/11/2017
LADD,American journal of respiratory and critical care,,11817835,24/11/2017
LADD,American journal of respiratory and critical care,,11817841,24/11/2017
LADD,American journal of respiratory and critical care medicine,,333499,31/07/2013
LADD,American journal of respiratory and critical care medicine,,354316,20/11/2014
LADD,American journal of rhinology & allergy,,11828216,11/12/2017
LADD,American journal of rhinology & allergy,,12163138,19/09/2018
LADD,American journal of speech-language pathology,,328455,16/04/2013
LADD,American journal of speech-language pathology,,333337,26/07/2013
LADD,American journal of speech-language pathology,,379237,6/10/2016
LADD,American journal of speech-language pathology,,355770,14/01/2015
LADD,American journal of speech-language pathology.,,11804245,8/11/2017
LADD,American journal of speech-language pathology.,,11854897,8/01/2018
LADD,American journal of speech-language pathology.,,12154908,12/09/2018
LADD,American journal of surgery,,333677,2/08/2013
LADD,American journal of surgery,,333739,5/08/2013
LADD,American journal of surgery.,,333755,5/08/2013
LADD,American journal of surgery.,,341397,31/01/2014
LADD,American journal of surgery.,,349910,7/08/2014
LADD,American journal of tropical medicine and hygiene,,359474,16/04/2015
LADD,American journal of tropical medicine and hygiene,,359471,15/04/2015
LADD,American Journal on Mental Retardation,,360855,18/05/2015
LADD,American Journal on Mental Retardation,,360857,18/05/2015
LADD,American review of respiratory disease,,327519,28/03/2013
LADD,American review of respiratory disease,,388415,9/06/2017
LADD,American Review of Respiratory Disease,,11818161,21/11/2017
LADD,American Review of Respiratory Disease,,373757,16/05/2016
LADD,American Review of Respiratory Disease,,365219,2/09/2015
LADD,American scientist,,379480,11/10/2016
LADD,American scientist,,355329,23/12/2014
LADD,American scientist,,329998,17/05/2013
LADD,Amphibia-reptilia,,11864327,15/01/2018
LADD,Amphibia-reptilia,,11853476,4/01/2018
LADD,Amphibia-reptilia,,11853492,4/01/2018
LADD,Amphibia-reptilia,,11853503,4/01/2018
LADD,Amphibia-reptilia,,11853594,4/01/2018
LADD,Amphibia-reptilia,,11864917,16/01/2018
LADD,Amphibia-reptilia,,11867201,17/01/2018
LADD,Amphibia-reptilia,,11867208,17/01/2018
LADD,Amphibia-reptilia,,11867220,17/01/2018
LADD,Amphibia-reptilia,,11869944,18/01/2018
LADD,Amphibia-reptilia,,11878323,25/01/2018
LADD,Amphibia-reptilia,,11854927,6/01/2018
LADD,Amphibia-reptilia,,11950618,23/03/2018
LADD,Anaesthesia and intensive care,,11811819,14/11/2017
LADD,Anaesthesia and intensive care,,11811824,14/11/2017
LADD,Anaesthesia and intensive care,,379549,13/10/2016
LADD,Anaesthesia and intensive care,,11997926,1/05/2018
LADD,Anaesthesia and intensive care,,11997932,1/05/2018
LADD,Anaesthesia and intensive care,,12220176,14/11/2018
LADD,Analecta Hibernica,,12059852,25/06/2018
LADD,Analecta Hibernica,,12219340,12/11/2018
LADD,Analyst,,349585,4/08/2014
LADD,Analyst,,386754,28/04/2017
LADD,Analyst,,367131,22/10/2015
LADD,Analytical Letters,,340774,6/02/2014
LADD,Analytical letters,,341580,4/02/2014
LADD,Analytical Letters,,356720,12/02/2015
LADD,Analytical letters,,327650,3/04/2013
LADD,Analytical letters,,335505,5/09/2013
LADD,Analytical Methods,,348543,8/07/2014
LADD,Analytical methods,,382796,18/01/2017
LADD,Analytical Methods,,383306,7/02/2017
LADD,Analytical methods,,389062,21/06/2017
LADD,Analytical methods,,356775,11/02/2015
LADD,Analytical methods,,357884,13/03/2015
LADD,Analytical methods,,11857218,9/01/2018
LADD,"Animal Lectins: Form, Function and Clinical ",,379698,19/10/2016
LADD,"Animal Lectins: Form, Function and Clinical ",,379699,18/10/2016
LADD,Animal Welfare,,387147,9/05/2017
LADD,Animal Welfare,,358787,1/04/2015
LADD,Animal Welfare,,358788,1/04/2015
LADD,Animal Welfare,,358790,31/03/2015
LADD,Animal welfare,,362031,15/06/2015
LADD,Animal welfare,,362032,15/06/2015
LADD,Animal welfare,,329713,10/05/2013
LADD,Animal welfare,,329715,10/05/2013
LADD,Animal welfare,,329712,9/05/2013
LADD,Animal welfare.,,343087,12/03/2014
LADD,Animal welfare.,,329714,10/05/2013
LADD,Animal welfare.,,333250,25/07/2013
LADD,Animal welfare.,,12148341,7/09/2018
LADD,Annalen der Physik,,344620,8/04/2014
LADD,Annalen der Physik,,333055,19/07/2013
LADD,Annales de geographie,,338563,22/11/2013
LADD,Annales de geographie,,338565,22/11/2013
LADD,Annals of Allergy,,330014,15/05/2013
LADD,Annals of Allergy,,331895,26/06/2013
LADD,"Annals of allergy, asthma & immunology",,336125,23/09/2013
LADD,"Annals of allergy, asthma & immunology",,11888671,5/02/2018
LADD,"Annals of allergy, asthma, & immunology",,347926,17/06/2014
LADD,"Annals of allergy, asthma, & immunology",,340160,8/01/2014
LADD,"Annals of allergy, asthma, & immunology",,340161,8/01/2014
LADD,"Annals of allergy, asthma, & immunology",,327118,22/03/2013
LADD,"Annals of allergy, asthma, & immunology.",,12165533,25/09/2018
LADD,"Annals of allergy, asthma, & immunology.",,12165553,25/09/2018
LADD,Annals of clinical psychiatry,,324428,5/02/2013
LADD,Annals of clinical psychiatry,,360365,12/05/2015
LADD,Annals of emergency medicine,,336940,11/10/2013
LADD,Annals of emergency medicine,,387339,11/05/2017
LADD,Annals of emergency medicine,,367573,6/11/2015
LADD,Annals of hematology,,384450,6/03/2017
LADD,Annals of hematology,,385468,29/03/2017
LADD,Annals of internal medicine,,342353,21/02/2014
LADD,Annals of internal medicine,,343373,18/03/2014
LADD,Annals of Internal Medicine,,343911,26/03/2014
LADD,Annals of internal medicine,,345292,17/04/2014
LADD,Annals of internal medicine,,346364,13/05/2014
LADD,Annals of internal medicine,,346702,19/05/2014
LADD,Annals of Internal Medicine,,347931,17/06/2014
LADD,Annals of Internal Medicine,,348157,27/06/2014
LADD,Annals of internal medicine,,350708,20/08/2014
LADD,Annals of internal medicine,,323591,11/01/2013
LADD,Annals of internal medicine,,323935,21/01/2013
LADD,Annals of internal medicine,,328559,17/04/2013
LADD,Annals of internal medicine,,328772,23/04/2013
LADD,Annals of internal medicine,,328893,24/04/2013
LADD,Annals of internal medicine,,326753,15/03/2013
LADD,Annals of internal medicine,,329174,30/04/2013
LADD,Annals of internal medicine,,329567,8/05/2013
LADD,Annals of internal medicine,,329656,9/05/2013
LADD,Annals of internal medicine,,330422,23/05/2013
LADD,Annals of internal medicine,,385762,4/04/2017
LADD,Annals of Internal Medicine,,385869,5/04/2017
LADD,Annals of internal medicine,,386369,21/04/2017
LADD,Annals of internal medicine,,385479,30/03/2017
LADD,Annals of internal medicine,,384445,7/03/2017
LADD,Annals of internal medicine,,385151,21/03/2017
LADD,Annals of Internal Medicine,,386001,10/04/2017
LADD,Annals of internal medicine,,388877,20/06/2017
LADD,Annals of internal medicine,,389778,25/07/2017
LADD,Annals of internal medicine,,390085,31/07/2017
LADD,Annals of internal medicine,,11740899,12/09/2017
LADD,Annals of Internal Medicine,,372637,8/04/2016
LADD,Annals of Internal Medicine,,372842,13/04/2016
LADD,Annals of internal medicine,,375224,20/06/2016
LADD,Annals of internal medicine,,377465,17/08/2016
LADD,Annals of internal medicine,,375884,6/07/2016
LADD,Annals of internal medicine,,376268,19/07/2016
LADD,Annals of internal medicine,,376269,19/07/2016
LADD,Annals of Internal Medicine,,376129,13/07/2016
LADD,Annals of internal medicine,,378433,12/09/2016
LADD,Annals of Internal Medicine,,379436,7/10/2016
LADD,Annals of internal medicine,,379656,18/10/2016
LADD,Annals of Internal Medicine,,381734,15/12/2016
LADD,Annals of Internal Medicine,,357361,25/02/2015
LADD,Annals of internal medicine,,357970,16/03/2015
LADD,Annals of internal medicine,,359180,9/04/2015
LADD,Annals of internal medicine,,362274,19/06/2015
LADD,Annals of internal medicine,,362174,17/06/2015
LADD,Annals of internal medicine,,362394,24/06/2015
LADD,Annals of Internal Medicine,,366964,20/10/2015
LADD,Annals of internal medicine,,340976,22/01/2014
LADD,Annals of internal medicine,,342600,27/02/2014
LADD,Annals of internal medicine,,342652,28/02/2014
LADD,Annals of Internal Medicine,,341857,12/02/2014
LADD,Annals of internal medicine,,343182,11/03/2014
